City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sur,22.5667,59.5289,93.43,42,0,4.41,OM,1686240638
84,port isabel,26.0734,-97.2086,78.89,73,20,8.05,US,1686240638
85,jamestown,42.097,-79.2353,60.39,62,100,9.22,US,1686240361
86,papao,-17.75,-149.55,74.88,63,31,21.7,PF,1686240638
87,catu,-12.3531,-38.3789,79.21,77,90,6.55,BR,1686240638
88,kargasok,59.0556,80.8572,64.62,81,100,13.82,RU,1686240638
89,saldanha,-33.0117,17.9442,59.56,91,71,13.2,ZA,1686240638
90,ogre,56.8162,24.614,78.53,36,13,4.97,LV,1686240638
91,betioky,-23.7167,44.3833,70.03,49,0,5.61,MG,1686240638
92,bredasdorp,-34.5322,20.0403,59.72,81,84,13.0,ZA,1686240639
93,mersa matruh,31.3525,27.2453,73.87,70,46,11.79,EG,1686240639
94,whitehorse,60.7161,-135.0538,59.02,58,93,17.0,CA,1686240639
95,anjangaon,21.1631,77.3094,93.22,34,61,10.74,IN,1686240639
96,cradock,-32.1642,25.6192,56.46,49,27,11.45,ZA,1686240639
97,katima mulilo,-17.5,24.2667,79.23,26,43,3.91,NA,1686240639
98,kingston,17.997,-76.7936,85.24,83,96,11.01,JM,1686240639
99,kostomuksha,64.571,30.5767,47.48,83,99,7.43,RU,1686240639
100,badger,64.8,-147.5333,62.71,67,75,3.44,US,1686240639
101,san patricio,28.017,-97.5169,88.86,61,58,3.2,US,1686240639
102,albany,42.6001,-73.9662,59.41,82,100,2.44,US,1686240378
103,vila velha,-20.3297,-40.2925,82.35,69,40,5.75,BR,1686240640
104,laojunmiao,39.8333,97.7333,67.64,20,35,4.0,CN,1686240444
105,bodo,67.28,14.405,48.45,70,40,8.05,NO,1686240640
106,cooper's town,26.8667,-77.5167,82.47,74,100,15.7,BS,1686240640
107,tolanaro,-25.0319,46.9987,72.16,89,0,11.7,MG,1686240640
108,ribeira grande,38.5167,-28.7,70.2,73,40,11.5,PT,1686240640
109,kudat,6.8837,116.8477,81.52,79,76,6.06,MY,1686240640
110,baharly,38.4362,57.4316,79.45,58,100,5.12,TM,1686240640
111,vilyuysk,63.7553,121.6247,48.61,56,14,1.88,RU,1686240640
112,raduzhny,62.0961,77.475,48.72,75,100,17.16,RU,1686240640
113,timbiqui,2.7717,-77.6654,85.46,69,91,3.96,CO,1686240641
114,were ilu,10.6,39.4333,61.21,55,35,8.5,ET,1686240641
115,bom jesus,-9.0744,-44.3586,95.25,29,21,7.63,BR,1686240492
116,nova sintra,14.8667,-24.7167,71.85,80,1,6.89,CV,1686240641
117,margaret river,-33.95,115.0667,53.94,73,21,1.86,AU,1686240641
118,puerto natales,-51.7236,-72.4875,30.65,100,40,3.44,CL,1686240641
119,poronaysk,49.2167,143.1167,42.64,94,83,4.12,RU,1686240642
